scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.016972,3.350230,4.969920,3.199050
scene_010_picasso,999,0.014531,2.734705,3.468864,2.671398
scene_019_sid,999,0.014243,2.668798,4.622270,2.513529
scene_020_picasso,999,0.015365,2.431002,3.394744,2.335208
OVERALL,,,2.796184,,
