scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.010229,1.761074,3.610212,1.580024
scene_010_picasso,999,0.007801,1.456943,2.619859,1.393686
scene_019_sid,999,0.010229,1.761074,3.610212,1.580024
scene_020_picasso,999,0.007801,1.456943,2.619859,1.393686
OVERALL,,,1.609008,,
