scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.010256,3.983810,8.854763,3.351856
scene_010_picasso,999,0.008500,3.782346,7.824544,3.306805
scene_019_sid,999,0.010256,3.983810,8.854763,3.351856
scene_020_picasso,999,0.008500,3.782346,7.824544,3.306805
OVERALL,,,3.883078,,
