scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.009608,3.573263,7.791924,3.070688
scene_010_picasso,999,0.008867,4.017178,7.747230,3.542277
scene_019_sid,999,0.010305,3.541280,7.703082,3.060106
scene_020_picasso,999,0.009462,3.873721,7.405884,3.460191
OVERALL,,,3.751361,,
