scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.029727,4.712713,7.009879,4.361563
scene_010_picasso,999,0.023559,3.828258,5.448964,3.699725
scene_019_sid,999,0.031522,5.525785,9.406354,5.020914
scene_020_picasso,999,0.025264,5.735176,11.595082,5.325848
OVERALL,,,4.950483,,
