scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.020271,5.465210,8.719340,4.866059
scene_010_picasso,999,0.017003,5.649219,8.837022,5.130512
scene_019_sid,999,0.020271,5.465210,8.719340,4.866059
scene_020_picasso,999,0.017003,5.649219,8.837022,5.130512
OVERALL,,,5.557215,,
