scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.018492,3.258704,5.001969,3.080990
scene_010_picasso,999,0.015124,3.853623,5.180061,3.680348
scene_019_sid,999,0.019460,4.274423,6.396957,3.996605
scene_020_picasso,999,0.015137,5.203504,7.568876,4.844306
OVERALL,,,4.147563,,
