scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.020328,3.735972,5.045149,3.557947
scene_010_picasso,999,0.016901,3.883358,6.046969,3.658906
scene_019_sid,999,0.020328,3.735972,5.045149,3.557947
scene_020_picasso,999,0.016901,3.883358,6.046969,3.658906
OVERALL,,,3.809665,,
