scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.019527,2.946013,4.911839,2.765558
scene_010_picasso,999,0.016367,3.578764,5.071683,3.436198
scene_019_sid,999,0.020081,3.160302,5.077279,2.993841
scene_020_picasso,999,0.016265,3.929809,5.126495,3.775306
OVERALL,,,3.403722,,
