scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.031043,4.820512,8.197796,4.219152
scene_010_picasso,999,0.024867,4.933679,7.496423,4.554657
scene_019_sid,999,0.031773,4.311526,6.700963,3.866951
scene_020_picasso,999,0.025194,5.516308,9.060697,5.170792
OVERALL,,,4.895506,,
