scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.018973,2.385546,4.180205,2.246445
scene_010_picasso,999,0.015990,2.343673,3.024432,2.293201
scene_019_sid,999,0.020781,2.314834,3.742581,2.189060
scene_020_picasso,999,0.016306,2.678329,3.672732,2.618488
OVERALL,,,2.430595,,
