scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.004885,2.672917,4.866035,2.350552
scene_010_picasso,999,0.004750,2.388380,4.686427,2.130730
scene_019_sid,999,0.004885,2.672917,4.866035,2.350552
scene_020_picasso,999,0.004750,2.388380,4.686427,2.130730
OVERALL,,,2.530648,,
