scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.006386,1.209245,1.718317,1.175100
scene_010_picasso,999,0.005840,1.257278,1.759662,1.220833
scene_019_sid,999,0.006386,1.209245,1.718317,1.175100
scene_020_picasso,999,0.005840,1.257278,1.759662,1.220833
OVERALL,,,1.233262,,
