scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.016186,2.998118,4.377080,2.868153
scene_010_picasso,999,0.016631,2.530988,3.482508,2.403312
scene_019_sid,999,0.017396,2.732162,3.773039,2.664226
scene_020_picasso,999,0.017575,2.459371,3.638434,2.291347
OVERALL,,,2.680160,,
