scene,samples,trans_rmse,ate_rmse,ate_max,ate_mean
scene_009_sid,999,0.010946,2.244551,3.901589,1.991954
scene_010_picasso,999,0.012040,1.554155,2.947783,1.460081
scene_019_sid,999,0.013628,2.879535,4.707832,2.741363
scene_020_picasso,999,0.015192,2.987026,5.952651,2.864832
OVERALL,,,2.416317,,
